NIK,NIK_valid,biometric_flag,age,gender,provider_id,diagnosis_code,procedure_code,num_diagnoses,num_procedures,length_of_stay,total_claim_amount,service_date,claim_date,verification_method,tarif_standar_diagnosis,diagnosis_cost_ratio
1717134770253599,1,1,30,F,RS002,K29.7,45.16,3,2,3,5119426,2024-07-17,2024-10-09,auto,1700000,3.0114270588235295
6084293758120625,1,1,77,F,RS004,J00,93.9,3,2,2,6623440,2024-09-20,2024-10-09,auto,500000,13.24688
4070916106914059,1,1,8,F,RS001,R10.4,87.09,2,4,0,1529615,2024-07-10,2024-10-10,auto,1200000,1.2746791666666666
9506504402505007,1,0,62,F,RS003,K29.7,45.16,3,4,0,2354939,2024-03-06,2024-10-10,manual,1700000,1.3852582352941176
1144026668555637,1,0,81,M,RS007,A09,45.23,2,3,0,6245511,2024-08-21,2024-10-10,auto,1300000,4.804239230769231
2171149304446851,1,1,42,M,RS004,R50.9,99.19,1,1,0,9770690,2024-05-30,2024-10-10,manual,1000000,9.77069
5684584675729210,1,1,41,M,RS006,M54.5,93.39,1,1,2,573664,2024-01-12,2024-10-10,auto,1800000,0.3187022222222222
4252525526263830,0,1,53,F,RS005,A09,45.23,3,1,1,5188729,2024-03-06,2024-10-10,auto,1300000,3.99133
2199556722624474,1,1,90,F,RS008,Z03.8,93.91,2,3,0,586085,2024-07-02,2024-10-10,manual,1200000,0.48840416666666664
3250605319470314,1,1,19,M,RS001,K29.7,45.16,3,1,2,7397743,2024-02-10,2024-10-11,auto,1700000,4.351613529411765
2518929604608639,1,1,58,F,RS005,A09,45.23,2,2,0,6942148,2024-01-09,2024-10-11,auto,1300000,5.340113846153846
4813161534313995,1,1,86,F,RS002,O80,72.0,2,2,2,8559569,2024-08-12,2024-10-11,auto,3500000,2.445591142857143
2251905287892247,1,1,76,M,RS005,M54.5,93.39,3,3,0,3423802,2024-05-04,2024-10-11,manual,1800000,1.9021122222222222
1426163359843708,1,1,18,F,RS004,E11,99.10,2,4,1,8992459,2024-02-03,2024-10-11,manual,2500000,3.5969836
0652949135187316,1,0,13,F,RS009,R50.9,99.19,1,3,0,4082446,2024-03-25,2024-10-11,manual,1000000,4.082446
1932837844152572,1,1,80,M,RS001,A09,45.23,2,2,3,543469,2024-07-04,2024-10-11,auto,1300000,0.4180530769230769
2465354732665075,0,0,19,M,RS003,O80,72.0,2,3,3,4814756,2024-02-02,2024-10-11,auto,3500000,1.3756445714285714
8345854329008913,1,1,44,F,RS004,K29.7,45.16,1,1,2,9506737,2024-09-10,2024-10-12,auto,1700000,5.592198235294117
8392933547891253,1,1,2,F,RS004,A09,45.23,2,3,1,6885700,2024-06-28,2024-10-12,manual,1300000,5.296692307692307
5647968168032068,0,1,73,F,RS005,K21.0,45.16,1,4,1,5431297,2024-09-14,2024-10-12,auto,1400000,3.8794978571428573
6321540065345899,1,1,10,F,RS006,R50.9,99.19,1,1,0,1250418,2024-04-06,2024-10-12,manual,1000000,1.250418
3365989046032572,1,1,72,F,RS008,J00,93.9,2,1,0,8666618,2024-01-08,2024-10-12,auto,500000,17.333236
4734721018569887,0,1,47,M,RS003,R50.9,99.19,3,3,0,6231628,2024-07-24,2024-10-14,auto,1000000,6.231628
2131451356655480,1,1,60,M,RS004,R10.4,45.23,2,1,2,5151041,2024-08-30,2024-10-14,auto,1200000,4.292534166666667
0044079541257972,0,1,42,F,RS005,Z00.0,93.99,1,4,0,3242330,2024-08-14,2024-10-14,auto,700000,4.6319
4150966194478088,1,1,73,M,RS003,H25.9,13.5,3,1,0,5849435,2024-02-02,2024-10-14,auto,7500000,0.7799246666666667
3125702526543398,1,0,85,M,RS008,Z03.8,93.91,3,3,1,811771,2024-04-03,2024-10-14,auto,1200000,0.6764758333333334
5575277090222754,0,1,9,F,RS006,K21.0,45.16,2,1,2,8186430,2024-08-20,2024-10-14,manual,1400000,5.84745
5201789267133296,0,1,76,F,RS008,Z03.8,93.91,3,4,0,5956147,2024-03-12,2024-10-14,manual,1200000,4.963455833333334
4246634379700811,1,1,68,M,RS007,E11,99.10,2,2,2,5476271,2024-03-19,2024-10-14,manual,2500000,2.1905084
9959670986869068,1,0,44,F,RS003,I10,99.04,2,3,3,5646048,2024-06-24,2024-10-14,manual,2000000,2.823024
7826380642459211,0,0,16,F,RS001,I25.1,36.15,3,4,3,8990824,2024-03-20,2024-10-14,manual,5000000,1.7981648
7370205258922667,1,1,40,M,RS003,K29.7,45.16,2,3,1,9004517,2024-02-14,2024-10-15,auto,1700000,5.296774705882353
4864750948347430,0,0,26,M,RS002,J00,93.9,2,1,0,2727615,2024-02-13,2024-10-15,auto,500000,5.45523
2304257551681757,1,1,47,M,RS005,J00,93.9,3,1,0,7928786,2024-08-09,2024-10-15,auto,500000,15.857572
4653360519755402,1,0,8,F,RS003,J45.9,93.96,2,3,0,6322371,2024-05-04,2024-10-15,auto,2300000,2.748856956521739
2566203662555990,1,0,78,F,RS005,I10,99.04,2,3,4,6124799,2024-04-11,2024-10-15,auto,2000000,3.0623995
6907208612896705,1,0,86,F,RS002,K29.7,45.16,1,4,0,3294046,2024-05-27,2024-10-15,auto,1700000,1.9376741176470589
6482197167666239,1,1,34,M,RS003,J18.9,96.04,3,2,1,7410945,2024-04-05,2024-10-15,auto,4200000,1.7645107142857144
1584431824682229,0,1,30,F,RS008,R50.9,99.19,2,1,0,2054346,2024-07-20,2024-10-15,manual,1000000,2.054346
7052178650490800,1,1,17,F,RS003,J45.9,93.96,2,3,1,9763255,2024-04-10,2024-10-16,manual,2300000,4.244893478260869
0302990690908133,1,1,90,M,RS001,H25.9,13.1,1,4,0,8949899,2024-08-21,2024-10-16,manual,7500000,1.1933198666666667
6249279323195675,1,1,90,M,RS001,I25.1,99.24,3,4,3,5350225,2024-09-06,2024-10-16,manual,5000000,1.070045
7017125485426760,0,1,55,F,RS005,Z03.8,93.91,2,1,0,3855344,2024-06-15,2024-10-16,manual,1200000,3.2127866666666667
9393823443913568,0,1,8,M,RS008,I10,99.04,3,4,0,866079,2024-05-04,2024-10-16,manual,2000000,0.4330395
5713917649111565,1,0,22,F,RS004,J18.9,96.04,3,4,2,2719652,2024-07-04,2024-10-16,auto,4200000,0.6475361904761905
5245956282140742,1,1,64,F,RS007,I25.1,99.24,2,4,3,1298923,2024-04-01,2024-10-17,auto,5000000,0.2597846
5356985323698790,1,1,6,M,RS010,O80,72.0,2,4,2,4186100,2024-10-12,2024-10-17,auto,3500000,1.1960285714285714
9868037317108449,1,1,15,F,RS004,K21.0,45.16,2,3,1,3052348,2024-05-16,2024-10-17,auto,1400000,2.1802485714285713
8628608510978748,1,0,50,F,RS010,E11,99.10,2,4,3,3795468,2024-01-25,2024-10-17,auto,2500000,1.5181872
2467496622622119,1,1,80,F,RS004,K29.7,45.16,3,1,1,1578608,2024-10-12,2024-10-17,auto,1700000,0.9285929411764706
0173984806822654,0,1,39,M,RS003,E66.9,99.28,1,1,2,9770089,2024-01-15,2024-10-17,manual,1000000,9.770089
6476747739829272,1,1,20,F,RS010,N39.0,57.98,2,4,2,1789959,2024-01-15,2024-10-17,auto,2200000,0.8136177272727273
2251905287892247,1,1,76,M,RS005,M54.5,93.39,3,1,0,2385058,2024-02-15,2024-10-17,auto,1800000,1.3250322222222222
9873752149437503,1,0,42,F,RS002,Z00.0,93.99,3,1,0,2875776,2024-08-22,2024-10-17,manual,700000,4.108251428571428
8098545643558590,1,0,10,F,RS010,N39.0,57.94,3,1,2,7819256,2024-08-03,2024-10-17,auto,2200000,3.5542072727272727
0871431231304485,1,1,40,M,RS003,E66.9,99.28,2,1,3,9580870,2024-05-27,2024-10-18,auto,1000000,9.58087
2182279286324316,1,0,27,F,RS004,O80,72.0,1,4,1,1105797,2024-09-27,2024-10-18,manual,3500000,0.315942
0481068706907292,1,1,90,F,RS004,J00,93.9,1,3,0,7421576,2024-09-25,2024-10-18,auto,500000,14.843152
3030519942786973,1,1,44,F,RS004,Z34.0,73.0,2,2,2,5977015,2024-03-21,2024-10-18,auto,800000,7.47126875
3879706923493545,1,1,84,M,RS009,O80,72.0,1,2,3,5548659,2024-03-14,2024-10-18,auto,3500000,1.5853311428571428
9732458967890419,1,1,79,M,RS001,K29.7,45.16,2,2,0,1720054,2024-04-24,2024-10-18,auto,1700000,1.0117964705882352
7381422358669735,1,0,82,F,RS001,H25.9,13.5,1,3,0,7875400,2024-04-13,2024-10-19,auto,7500000,1.0500533333333333
8459165639829967,1,0,28,M,RS004,N39.0,57.98,1,3,1,8441923,2024-07-02,2024-10-19,auto,2200000,3.8372377272727274
7032311513807658,0,1,55,M,RS004,J00,93.9,1,1,0,6244467,2024-08-08,2024-10-19,auto,500000,12.488934
2891880979189409,1,0,53,M,RS005,J00,93.9,2,3,1,7532314,2024-06-17,2024-10-19,manual,500000,15.064628
9432885362614517,1,1,89,M,RS004,I25.1,36.15,2,1,1,2021300,2024-04-27,2024-10-19,manual,5000000,0.40426
6954875170123825,1,0,47,M,RS007,I25.1,36.15,1,2,0,772760,2024-03-09,2024-10-19,manual,5000000,0.154552
6234061294955484,1,1,73,F,RS009,R10.4,45.23,3,4,0,2877976,2024-08-13,2024-10-21,auto,1200000,2.3983133333333333
0656666842337095,1,1,88,M,RS005,H25.9,13.5,2,4,0,8839622,2024-10-08,2024-10-21,auto,7500000,1.1786162666666666
7832818970023545,1,0,47,M,RS001,R50.9,99.19,1,3,0,3560910,2024-08-19,2024-10-21,manual,1000000,3.56091
9367790213174776,1,1,26,M,RS004,K21.0,45.16,1,3,2,2601276,2024-05-25,2024-10-21,auto,1400000,1.8580542857142857
0673374816293677,1,1,81,M,RS010,E66.9,99.28,2,2,2,3842239,2024-06-24,2024-10-21,manual,1000000,3.842239
7487553448839459,0,1,39,F,RS003,Z00.0,93.99,2,3,0,6037423,2024-09-05,2024-10-21,auto,700000,8.62489
1265114964492096,1,1,24,F,RS007,I10,99.04,1,2,3,8278735,2024-02-07,2024-10-21,manual,2000000,4.1393675
2630136003057836,0,1,26,M,RS003,J00,93.9,3,3,2,2894340,2024-03-06,2024-10-21,manual,500000,5.78868
5140743779299850,0,1,43,F,RS006,I25.1,99.24,3,1,1,8291361,2024-10-15,2024-10-21,manual,5000000,1.6582722
1737443541981378,1,1,60,F,RS002,J00,93.9,1,1,1,6327026,2024-09-16,2024-10-21,manual,500000,12.654052
1456379441744140,0,1,43,F,RS010,Z03.8,93.91,1,1,0,6124864,2024-03-16,2024-10-21,manual,1200000,5.104053333333334
8510752161319011,1,1,84,F,RS002,O80,72.0,2,2,2,5428340,2024-06-15,2024-10-22,auto,3500000,1.5509542857142857
0825062666171844,0,0,89,F,RS002,J45.9,93.96,2,2,0,4028516,2024-08-12,2024-10-22,manual,2300000,1.7515286956521738
7907315054201660,0,1,77,M,RS009,Z34.0,73.0,3,3,2,5734023,2024-09-09,2024-10-22,auto,800000,7.16752875
8056839724228373,1,1,46,M,RS003,Z00.0,93.99,3,4,0,5475102,2024-09-27,2024-10-22,auto,700000,7.821574285714286
0263099918250448,1,1,88,M,RS004,Z00.0,93.99,1,1,2,7518957,2024-05-16,2024-10-22,auto,700000,10.741367142857143
9642444787991293,1,1,50,M,RS001,R10.4,45.23,2,1,2,1129902,2024-02-05,2024-10-22,manual,1200000,0.941585
8696680844324872,1,1,41,M,RS007,K29.7,45.16,3,1,2,2082405,2024-02-05,2024-10-22,auto,1700000,1.2249441176470588
8018675692363227,0,1,37,M,RS001,N39.0,57.94,3,4,0,2730147,2024-01-17,2024-10-22,auto,2200000,1.2409759090909092
8813305509883461,1,0,3,M,RS003,H25.9,13.1,2,3,0,4875304,2024-01-27,2024-10-22,manual,7500000,0.6500405333333333
7948698175419963,1,1,74,M,RS005,H25.9,13.4,2,2,0,4274827,2024-07-16,2024-10-22,manual,7500000,0.5699769333333333
7804569773289670,1,0,65,F,RS008,O80,72.0,3,4,4,970450,2024-08-26,2024-10-22,auto,3500000,0.27727142857142856
0777186281397697,1,1,33,M,RS001,A09,45.23,3,2,1,4587691,2024-03-29,2024-10-23,auto,1300000,3.528993076923077
4747676997057084,1,1,70,F,RS008,E66.9,99.28,3,4,1,9458015,2024-09-11,2024-10-23,manual,1000000,9.458015
6026617086952876,1,1,17,M,RS002,E66.9,99.28,2,3,1,8752187,2024-10-15,2024-10-23,manual,1000000,8.752187
5707893723657223,1,1,77,F,RS006,R10.4,87.09,2,4,0,9613682,2024-07-10,2024-10-23,manual,1200000,8.011401666666666
4842158416680125,1,1,86,M,RS008,H25.9,13.4,3,4,0,1000378,2024-07-16,2024-10-23,manual,7500000,0.13338373333333334
3666213973413878,0,1,46,F,RS006,K29.7,45.16,2,4,2,7546917,2024-06-22,2024-10-23,manual,1700000,4.439362941176471
3036575324379062,0,1,26,M,RS007,Z03.8,93.91,2,4,0,3154698,2024-01-26,2024-10-24,auto,1200000,2.628915
0143015903197236,1,0,86,M,RS003,N39.0,57.94,2,3,4,6676749,2024-04-22,2024-10-24,auto,2200000,3.0348859090909093
9093810094948070,0,1,16,F,RS004,R50.9,99.19,3,2,0,5346977,2024-08-17,2024-10-24,auto,1000000,5.346977
1053801873199946,1,1,35,F,RS001,Z34.0,73.0,2,2,2,4514950,2024-10-25,2024-10-27,auto,800000,5.6436875
8528622624108403,1,1,6,F,RS010,Z00.0,93.99,1,2,1,4428123,2024-02-17,2024-10-24,manual,700000,6.32589
8282712405092353,1,1,47,M,RS007,Z34.0,73.0,2,1,3,8907212,2024-05-01,2024-10-24,manual,800000,11.134015
6862512011531669,0,1,66,M,RS008,Z00.0,93.99,1,3,0,3455027,2024-06-15,2024-10-24,manual,700000,4.935752857142857
2011200014076145,1,1,1,F,RS007,Z00.0,93.99,2,3,0,4210481,2024-03-12,2024-10-24,auto,700000,6.014972857142857
0974452209400816,1,1,58,M,RS004,I25.1,36.15,1,1,1,8837588,2024-06-07,2024-10-25,auto,5000000,1.7675176
7889581571818786,1,1,36,F,RS004,E66.9,99.28,3,2,1,1852222,2024-10-10,2024-10-25,manual,1000000,1.852222
9934677224493339,1,0,73,F,RS007,J18.9,93.94,3,3,1,3327660,2024-05-03,2024-10-25,auto,4200000,0.7923
2834135883237732,1,1,71,M,RS009,J18.9,93.94,3,4,1,6103760,2024-09-07,2024-10-25,manual,4200000,1.4532761904761904
4448971013075441,1,1,27,F,RS006,E66.9,99.28,2,1,4,4778638,2024-05-03,2024-10-25,manual,1000000,4.778638
0026950361518025,1,0,74,M,RS008,Z00.0,93.99,1,2,2,3039811,2024-09-13,2024-10-26,auto,700000,4.342587142857143
3358180556372134,0,0,7,F,RS010,I25.1,99.24,3,3,3,1886688,2024-07-04,2024-10-26,manual,5000000,0.3773376
3617481897877767,0,1,1,M,RS005,I25.1,36.15,3,2,4,7454130,2024-03-01,2024-10-26,manual,5000000,1.490826
9786737746073421,1,0,2,F,RS008,A09,45.23,1,4,0,1676710,2024-04-06,2024-10-26,manual,1300000,1.2897769230769232
0747479228763775,1,1,55,F,RS008,J45.9,93.96,3,4,1,3281264,2024-02-15,2024-10-26,auto,2300000,1.4266365217391304
9537123692699614,1,1,78,F,RS008,K21.0,45.16,1,4,0,5619602,2024-01-06,2024-10-28,auto,1400000,4.0140014285714285
1433090523121539,1,0,58,M,RS007,M54.5,93.39,3,3,0,4474758,2024-05-18,2024-10-28,manual,1800000,2.4859766666666667
6600666742590162,1,1,20,M,RS003,E11,99.10,3,2,1,2785129,2024-02-15,2024-10-28,auto,2500000,1.1140516
7869313476679676,1,0,24,F,RS007,M54.5,93.39,2,3,0,5501603,2024-02-17,2024-10-28,auto,1800000,3.056446111111111
6385962290088984,1,0,14,F,RS008,A09,45.23,2,2,2,5209823,2024-10-04,2024-10-29,manual,1300000,4.007556153846154
5647968168032068,0,1,73,F,RS005,A09,45.23,1,4,2,831931,2024-06-07,2024-10-29,auto,1300000,0.639946923076923
3409067444561453,0,0,61,F,RS001,E66.9,99.28,1,4,2,6456981,2024-07-24,2024-10-29,auto,1000000,6.456981
5677715415216966,1,1,23,M,RS002,K29.7,45.16,3,3,2,9483361,2024-09-21,2024-10-29,manual,1700000,5.578447647058823
8350970383751336,1,1,89,F,RS008,I25.1,99.24,1,3,2,2175622,2024-09-13,2024-10-29,manual,5000000,0.4351244
9134199857726285,0,1,13,M,RS001,R10.4,87.09,3,2,0,3126486,2024-01-16,2024-10-30,manual,1200000,2.605405
8202054422518066,1,1,14,F,RS008,J00,93.9,1,1,0,2189836,2024-01-23,2024-10-30,manual,500000,4.379672
0260081578038436,1,1,55,F,RS001,J45.9,93.96,2,2,2,9164491,2024-07-22,2024-10-30,manual,2300000,3.9845613043478263
7824943251185450,1,1,41,M,RS004,Z00.0,93.99,2,3,0,2037827,2024-02-29,2024-10-30,manual,700000,2.9111814285714286
7714590588821549,1,1,25,F,RS006,E11,99.10,1,4,1,7202231,2024-05-10,2024-10-30,auto,2500000,2.8808924
3897763827102959,1,1,69,F,RS008,J18.9,96.04,2,1,0,2596000,2024-03-05,2024-10-30,manual,4200000,0.6180952380952381
5960001558299677,0,1,48,M,RS008,I10,99.04,3,3,3,9369281,2024-08-21,2024-10-30,auto,2000000,4.6846405
2827932116453436,1,1,65,F,RS007,R10.4,45.23,3,1,0,2877635,2024-04-12,2024-10-31,auto,1200000,2.398029166666667
0942833382591512,1,0,38,F,RS010,K21.0,45.16,1,2,0,4613071,2024-04-20,2024-10-31,auto,1400000,3.2950507142857144
3492025524091001,1,0,42,F,RS008,J45.9,93.96,2,1,0,7223308,2024-05-18,2024-10-31,manual,2300000,3.140568695652174
8808508442265323,1,1,9,M,RS008,J00,93.9,3,1,0,7260390,2024-05-24,2024-10-31,auto,500000,14.52078
0140430681574890,1,1,44,M,RS006,J18.9,96.04,1,2,0,7806104,2024-05-20,2024-10-31,auto,4200000,1.8585961904761905
1309726032011272,1,1,87,F,RS008,H25.9,13.5,1,4,0,2507129,2024-06-12,2024-11-01,auto,7500000,0.33428386666666665
3042648763683951,1,1,86,M,RS005,J00,93.9,2,1,1,8874893,2024-02-24,2024-11-01,manual,500000,17.749786
9681365391342537,1,1,87,F,RS009,N39.0,57.94,3,3,1,5159843,2024-03-08,2024-11-01,auto,2200000,2.345383181818182
6447468153898644,0,1,27,M,RS002,K21.0,45.16,2,1,1,5155561,2024-08-24,2024-11-01,auto,1400000,3.6825435714285715
7356070297812652,1,1,71,M,RS008,J00,93.9,3,1,0,9635165,2024-10-22,2024-11-01,auto,500000,19.27033
5798574019483136,0,1,72,M,RS008,E66.9,99.28,1,3,2,9912686,2024-09-26,2024-11-01,auto,1000000,9.912686
0837377191805336,1,1,83,M,RS009,R50.9,99.19,1,1,2,1437772,2024-05-24,2024-11-02,auto,1000000,1.437772
7417378451318095,0,1,56,M,RS003,J45.9,93.96,1,1,1,5644517,2024-10-08,2024-11-02,manual,2300000,2.4541378260869564
0955641672780563,1,1,44,F,RS001,Z34.0,73.0,3,1,1,8285387,2024-01-31,2024-11-02,manual,800000,10.35673375
9487517218764614,1,1,51,M,RS010,E11,99.10,3,2,1,1862855,2024-01-25,2024-11-02,auto,2500000,0.745142
4657436164816575,1,1,82,M,RS010,R10.4,87.09,3,2,1,4972219,2024-08-05,2024-11-02,auto,1200000,4.143515833333334
2661855889819557,1,1,69,F,RS005,J18.9,96.04,1,2,0,6285829,2024-07-11,2024-11-02,manual,4200000,1.4966259523809524
3330804687169543,0,1,50,M,RS002,E11,99.10,3,3,2,9513589,2024-01-05,2024-11-02,manual,2500000,3.8054356
3634853207244082,0,1,28,M,RS007,K21.0,45.16,2,1,1,4875531,2024-07-05,2024-11-02,auto,1400000,3.482522142857143
6954875170123825,1,0,47,M,RS007,I10,99.04,1,3,2,3019881,2024-05-30,2024-11-04,manual,2000000,1.5099405
2949852026368660,1,1,50,M,RS002,Z34.0,73.0,2,2,3,7061818,2024-10-22,2024-11-04,manual,800000,8.8272725
6500701680322492,1,1,45,M,RS010,E11,99.10,2,2,1,7284765,2024-02-06,2024-11-04,manual,2500000,2.913906
0200560463621753,1,1,74,F,RS008,J18.9,93.94,3,3,1,6372542,2024-07-30,2024-11-04,auto,4200000,1.5172719047619048
1309726032011272,1,1,87,F,RS008,H25.9,13.1,2,2,0,3302237,2024-05-14,2024-11-04,manual,7500000,0.44029826666666666
2067327823551775,1,1,40,F,RS008,R10.4,45.23,3,4,0,2646331,2024-06-08,2024-11-04,auto,1200000,2.2052758333333333
1966130377363425,1,1,56,F,RS002,J00,93.9,3,1,1,8105808,2024-05-16,2024-11-05,manual,500000,16.211616
0507761649408367,0,1,3,M,RS008,K29.7,45.16,3,1,1,5619313,2024-10-31,2024-11-05,auto,1700000,3.3054782352941174
2552889576569335,1,0,37,F,RS007,K21.0,45.16,3,1,0,6116832,2024-06-19,2024-11-05,auto,1400000,4.369165714285714
1304020365350044,1,1,59,F,RS005,A09,45.23,2,4,0,4141164,2024-06-17,2024-11-05,auto,1300000,3.185510769230769
2320200927976298,0,0,40,F,RS006,H25.9,13.5,3,1,0,1448560,2024-01-05,2024-11-05,auto,7500000,0.19314133333333333
1743353525294579,1,1,4,F,RS007,I10,99.04,1,2,3,2206808,2024-09-03,2024-11-05,auto,2000000,1.103404
0948352213151115,0,1,7,M,RS004,O80,72.0,3,3,1,4504324,2024-05-08,2024-11-05,manual,3500000,1.2869497142857143
0848093134701863,1,1,57,F,RS003,Z00.0,93.99,3,4,1,7173982,2024-05-25,2024-11-06,auto,700000,10.248545714285715
7458930025627942,1,0,23,F,RS001,E66.9,99.28,2,3,2,4777391,2024-06-08,2024-11-06,auto,1000000,4.777391
1920995916802177,1,1,21,M,RS007,Z03.8,93.91,2,3,0,5547030,2024-02-26,2024-11-06,manual,1200000,4.622525
0511909183562140,1,1,73,M,RS010,Z03.8,93.91,1,1,0,3511906,2024-05-14,2024-11-06,manual,1200000,2.926588333333333
2572526405845796,1,1,89,F,RS005,M54.5,93.39,3,2,0,3438394,2024-07-26,2024-11-06,manual,1800000,1.910218888888889
6359534663487435,1,0,76,F,RS001,J45.9,93.96,2,3,2,2529248,2024-03-12,2024-11-06,manual,2300000,1.099673043478261
9367790213174776,1,1,26,M,RS004,K29.7,45.16,2,4,2,6725902,2024-11-02,2024-11-07,manual,1700000,3.956412941176471
2226813517358157,1,1,60,F,RS008,H25.9,13.1,2,1,1,9168546,2024-10-26,2024-11-07,auto,7500000,1.2224728
2858505853582813,0,1,10,M,RS010,Z00.0,93.99,3,2,0,3060038,2024-04-12,2024-11-07,auto,700000,4.3714828571428574
8092679456933417,1,1,57,M,RS008,K29.7,45.16,2,2,0,9212251,2024-05-10,2024-11-07,auto,1700000,5.418971176470588
2509494660329666,1,1,20,M,RS010,K21.0,45.16,3,4,2,8423199,2024-08-13,2024-11-07,manual,1400000,6.016570714285714
0728825820104915,1,1,50,M,RS004,J00,93.9,1,3,1,777470,2024-10-21,2024-11-07,manual,500000,1.55494
5980756888763223,1,1,53,M,RS005,J18.9,96.04,3,3,1,681483,2024-05-16,2024-11-08,manual,4200000,0.16225785714285715
9256411682449471,0,1,50,M,RS006,N39.0,57.98,3,4,0,5799470,2024-10-05,2024-11-08,manual,2200000,2.6361227272727272
5722967829365145,0,1,38,M,RS006,Z00.0,93.99,3,4,0,2432609,2024-07-18,2024-11-08,auto,700000,3.475155714285714
0234597382655658,1,1,13,M,RS005,E11,99.10,3,1,1,8334640,2024-06-21,2024-11-08,manual,2500000,3.333856
9786737746073421,1,0,2,F,RS008,K21.0,45.16,1,4,0,6193449,2024-01-02,2024-11-08,auto,1400000,4.4238921428571425
0728825820104915,1,1,50,M,RS009,J00,93.9,3,1,0,3718684,2024-05-07,2024-11-08,manual,500000,7.437368
6691875244504564,1,1,26,F,RS005,H25.9,13.4,2,2,0,7871956,2024-05-17,2024-11-09,auto,7500000,1.0495941333333334
1666226553338808,0,1,27,F,RS003,J18.9,93.94,3,4,2,707512,2024-08-19,2024-11-09,auto,4200000,0.1684552380952381
3084904062959448,0,0,69,F,RS006,N39.0,57.98,1,4,1,4018621,2024-01-01,2024-11-09,manual,2200000,1.826645909090909
4281208182104094,1,1,47,F,RS003,R10.4,45.23,3,4,1,5879887,2024-10-16,2024-11-09,auto,1200000,4.899905833333333
5338457848884388,1,1,72,F,RS005,O80,72.0,2,1,2,6601172,2024-09-13,2024-11-09,auto,3500000,1.8860491428571429
3727989503261230,1,1,82,M,RS004,K21.0,45.16,2,2,2,7938119,2024-07-17,2024-11-09,auto,1400000,5.670085
5260422762330264,1,1,36,M,RS010,N39.0,57.98,2,4,0,5153060,2024-08-10,2024-11-09,manual,2200000,2.3423
5943113177988161,1,0,76,M,RS007,I25.1,99.24,3,4,2,3765846,2024-06-07,2024-11-09,auto,5000000,0.7531692
4178339311928578,0,1,32,M,RS006,H25.9,13.4,3,4,0,5221921,2024-09-03,2024-11-09,manual,7500000,0.6962561333333334
0073075960064860,1,0,46,F,RS005,J45.9,93.96,2,3,0,6570083,2024-04-19,2024-11-09,manual,2300000,2.8565578260869566
0759329526027876,1,1,47,F,RS001,O80,72.0,1,1,2,3735745,2024-06-05,2024-11-09,auto,3500000,1.0673557142857142
7015444135965527,1,1,57,F,RS009,E66.9,99.28,3,4,4,6251641,2024-01-23,2024-11-11,manual,1000000,6.251641
1520714846199201,0,1,77,F,RS007,J45.9,93.96,3,3,1,5896847,2024-02-07,2024-11-11,auto,2300000,2.5638465217391304
6840835586996761,1,1,8,F,RS006,E11,99.10,1,2,6,785472,2024-04-05,2024-11-11,auto,2500000,0.3141888
9348377310065652,1,1,4,F,RS010,J00,93.9,2,2,0,6169584,2024-10-24,2024-11-11,auto,500000,12.339168
1481381214925734,1,1,15,M,RS005,R10.4,45.23,2,4,1,9923719,2024-08-01,2024-11-11,manual,1200000,8.269765833333333
7859935000867847,1,0,67,F,RS001,K29.7,45.16,2,3,2,493105,2024-05-08,2024-11-12,auto,1700000,0.29006176470588235
2913539596413669,1,0,61,M,RS002,I10,99.04,1,3,2,8014285,2024-10-14,2024-11-12,manual,2000000,4.0071425
3121247992137668,1,1,16,F,RS001,R10.4,45.23,3,1,0,1106348,2024-07-23,2024-11-12,auto,1200000,0.9219566666666666
2211004655051377,1,1,33,F,RS009,N39.0,57.98,2,2,3,4279405,2024-04-27,2024-11-12,manual,2200000,1.945184090909091
9803835752365209,0,1,6,F,RS005,H25.9,13.5,3,2,0,9495384,2024-10-26,2024-11-12,manual,7500000,1.2660512
2168315908383585,0,1,2,F,RS001,A09,45.23,1,3,0,4391611,2024-10-16,2024-11-12,manual,1300000,3.3781623076923077
3506399569159956,1,1,43,F,RS008,O80,72.0,1,4,2,4703204,2024-10-29,2024-11-12,manual,3500000,1.3437725714285715
3342177724510006,1,1,13,F,RS007,Z34.0,73.0,1,4,2,1025627,2024-03-21,2024-11-12,manual,800000,1.28203375
6840867016380066,1,0,63,F,RS002,Z00.0,93.99,1,4,0,2709042,2024-08-07,2024-11-13,auto,700000,3.87006
2269541750060120,1,1,34,F,RS005,J00,93.9,2,1,0,1306916,2024-09-06,2024-11-13,manual,500000,2.613832
8244743543069125,1,1,48,F,RS002,I10,99.04,2,4,3,9611126,2024-04-13,2024-11-13,manual,2000000,4.805563
6321337633047226,1,1,60,M,RS007,K21.0,45.16,1,4,1,5223999,2024-08-30,2024-11-13,manual,1400000,3.731427857142857
4333693941290091,1,0,52,M,RS002,I25.1,36.15,2,3,1,6483447,2024-06-08,2024-11-13,manual,5000000,1.2966894
2088186843718702,1,1,20,M,RS005,J00,93.9,1,3,1,4159504,2024-10-17,2024-11-13,auto,500000,8.319008
1448904801933367,1,0,30,M,RS002,J45.9,93.96,3,2,2,6570149,2024-03-02,2024-11-13,manual,2300000,2.8565865217391306
9494277282128680,0,1,46,F,RS006,Z03.8,93.91,2,3,0,5714515,2024-04-23,2024-11-13,manual,1200000,4.762095833333333
